Ca - Avg Ci: 1.09e-04, Avg lambda: 8.90e-01,
Cl - Avg Ci: 1.83e-03, Avg lambda: 7.14e-01,
Cr - Avg Ci: 2.04e-05, Avg lambda: 9.62e-01,
Cu - Avg Ci: 1.30e-05, Avg lambda: 9.87e-01, 
Fe - Avg Ci: 1.05e-04, Avg lambda: 9.76e-01,
K - Avg Ci: 7.55e-03, Avg lambda: 8.61e-01, 
Mg - Avg Ci: 4.45e-04, Avg lambda: 2.09e-01, 
Na - Avg Ci: 4.71e-03, Avg lambda: 1.31e-01, 
P - Avg Ci: 6.23e-03, Avg lambda: 5.21e-01, 
S - Avg Ci: 3.52e-03, Avg lambda: 6.10e-01,
Zn - Avg Ci: 3.14e-05, Avg lambda: 9.90e-01,
Ca - Avg Ci: 1.09e-04, Avg lambda: 8.90e-01, Avg Ci2: 4.6299675935553455e-06, Avg lambda2: 0.03786273387533076 
Cl - Avg Ci: 1.83e-03, Avg lambda: 7.14e-01, Avg Ci2: 0.001416874913271182, Avg lambda2: 0.5528617442959726 
Cr - Avg Ci: 2.04e-05, Avg lambda: 9.62e-01, Avg Ci2: 1.5748789672101952e-05, Avg lambda2: 0.7409193665600131 
Cu - Avg Ci: 1.30e-05, Avg lambda: 9.87e-01, Avg Ci2: 8.863258507369368e-06, Avg lambda2: 0.6705777130284603 
Fe - Avg Ci: 1.05e-04, Avg lambda: 9.76e-01, Avg Ci2: 8.098018641187091e-05, Avg lambda2: 0.7553880609805653 
K - Avg Ci: 7.55e-03, Avg lambda: 8.61e-01, Avg Ci2: 0.00584230441587586, Avg lambda2: 0.6662789923079403 
Mg - Avg Ci: 4.45e-04, Avg lambda: 2.09e-01, Avg Ci2: 0.0003440844619729337, Avg lambda2: 0.16214163611309526 
Na - Avg Ci: 4.71e-03, Avg lambda: 1.31e-01, Avg Ci2: 0.0036474651147415885, Avg lambda2: 0.10160590681393283 
P - Avg Ci: 6.23e-03, Avg lambda: 5.21e-01, Avg Ci2: 0.004820484922486555, Avg lambda2: 0.4034655977867499 
S - Avg Ci: 3.52e-03, Avg lambda: 6.10e-01, Avg Ci2: 0.002721518698465636, Avg lambda2: 0.47225692830654303 
Zn - Avg Ci: 3.14e-05, Avg lambda: 9.90e-01, Avg Ci2: 2.3996365568794337e-05, Avg lambda2: 0.7565017352866176 
Ca - Avg Ci: 1.09e-04, Avg lambda: 8.90e-01, Avg Ci2: 4.6299675935553455e-06, Avg lambda2: 0.03786273387533076 
Cl - Avg Ci: 1.83e-03, Avg lambda: 7.14e-01, Avg Ci2: 0.001416874913271182, Avg lambda2: 0.5528617442959726 
Cr - Avg Ci: 2.04e-05, Avg lambda: 9.62e-01, Avg Ci2: 1.5748789672101952e-05, Avg lambda2: 0.7409193665600131 
Cu - Avg Ci: 1.30e-05, Avg lambda: 9.87e-01, Avg Ci2: 8.863258507369368e-06, Avg lambda2: 0.6705777130284603 
Fe - Avg Ci: 1.05e-04, Avg lambda: 9.76e-01, Avg Ci2: 8.098018641187091e-05, Avg lambda2: 0.7553880609805653 
K - Avg Ci: 7.55e-03, Avg lambda: 8.61e-01, Avg Ci2: 0.00584230441587586, Avg lambda2: 0.6662789923079403 
Mg - Avg Ci: 4.45e-04, Avg lambda: 2.09e-01, Avg Ci2: 0.0003440844619729337, Avg lambda2: 0.16214163611309526 
Na - Avg Ci: 4.71e-03, Avg lambda: 1.31e-01, Avg Ci2: 0.0036474651147415885, Avg lambda2: 0.10160590681393283 
P - Avg Ci: 6.23e-03, Avg lambda: 5.21e-01, Avg Ci2: 0.004820484922486555, Avg lambda2: 0.4034655977867499 
S - Avg Ci: 3.52e-03, Avg lambda: 6.10e-01, Avg Ci2: 0.002721518698465636, Avg lambda2: 0.47225692830654303 
Zn - Avg Ci: 3.14e-05, Avg lambda: 9.90e-01, Avg Ci2: 2.3996365568794337e-05, Avg lambda2: 0.7565017352866176 
Ca-Ka - Avg Ci: inf, Avg lambda: 9.47e-01, Avg Ci2: inf, Avg lambda2: 0.9061046400730918 
Ca-Kb - Avg Ci: inf, Avg lambda: 9.57e-01, Avg Ci2: inf, Avg lambda2: 0.7868164683461593 
Cl-Ka - Avg Ci: inf, Avg lambda: 8.72e-01, Avg Ci2: inf, Avg lambda2: 0.834197440549735 
Cu-Ka - Avg Ci: inf, Avg lambda: 9.91e-01, Avg Ci2: inf, Avg lambda2: 0.8703104884410802 
Fe-Ka - Avg Ci: inf, Avg lambda: 9.85e-01, Avg Ci2: inf, Avg lambda2: 0.9418141721954437 
K-Ka - Avg Ci: inf, Avg lambda: 9.30e-01, Avg Ci2: inf, Avg lambda2: 0.8896826978718746 
Mn-Ka - Avg Ci: inf, Avg lambda: 9.83e-01, Avg Ci2: inf, Avg lambda2: 0.3402931781166722 
P-Ka - Avg Ci: inf, Avg lambda: 7.57e-01, Avg Ci2: inf, Avg lambda2: 0.7245714579812783 
S-Ka - Avg Ci: inf, Avg lambda: 8.24e-01, Avg Ci2: inf, Avg lambda2: 0.7886307927317817 
Zn-Ka - Avg Ci: inf, Avg lambda: 9.91e-01, Avg Ci2: inf, Avg lambda2: 0.9481639672278945 
Ca - Avg Ci: 6.92e-03, Avg lambda: 1.19e-03, Avg Ci2: 0.004394838588099566, Avg lambda2: 0.0007530863284888796 
Cl - Avg Ci: 6.37e-05, Avg lambda: 3.85e-04, Avg Ci2: 7.072847309180395e-06, Avg lambda2: 4.281824389016674e-05 
Cu - Avg Ci: 2.78e-06, Avg lambda: 1.05e-02, Avg Ci2: 1.3009824023871557e-06, Avg lambda2: 0.0049240978862724605 
Fe - Avg Ci: 2.23e-05, Avg lambda: 5.55e-03, Avg Ci2: 1.4028436666497993e-05, Avg lambda2: 0.0034902848210460677 
K - Avg Ci: 5.56e-03, Avg lambda: 8.80e-04, Avg Ci2: 0.0035277155259408953, Avg lambda2: 0.0005583184305995972 
Mn - Avg Ci: 1.00e-05, Avg lambda: 4.39e-03, Avg Ci2: 5.794740109357042e-06, Avg lambda2: 0.002538243817289506 
P - Avg Ci: 1.49e-03, Avg lambda: 1.82e-04, Avg Ci2: 0.0009468235103970826, Avg lambda2: 0.00011539687416571957 
S - Avg Ci: 9.17e-04, Avg lambda: 2.49e-04, Avg Ci2: 0.0005817892256410177, Avg lambda2: 0.00015775231481126472 
Zn - Avg Ci: 3.42e-06, Avg lambda: 1.28e-02, Avg Ci2: 1.7476520780675113e-06, Avg lambda2: 0.00655569883561132 
Ca - Avg Ci: 3.94e-04, Avg lambda: 9.14e-01, Avg Ci2: 0.0002981469454061809, Avg lambda2: 0.69107726386603 
Cl - Avg Ci: 3.05e-03, Avg lambda: 7.62e-01, Avg Ci2: 0.002306724179762781, Avg lambda2: 0.5759589589951387 
Cr - Avg Ci: 1.51e-04, Avg lambda: 9.69e-01, Avg Ci2: 0.00011432839551687326, Avg lambda2: 0.732727449011886 
Cu - Avg Ci: 1.96e-04, Avg lambda: 9.90e-01, Avg Ci2: 0.00014813635572349156, Avg lambda2: 0.748402626334328 
Fe - Avg Ci: 4.91e-04, Avg lambda: 9.81e-01, Avg Ci2: 0.0003711015377534793, Avg lambda2: 0.741536003946881 
K - Avg Ci: 4.51e-03, Avg lambda: 8.86e-01, Avg Ci2: 0.003408017903433066, Avg lambda2: 0.6702196824619644 
Mg - Avg Ci: 1.13e-03, Avg lambda: 2.62e-01, Avg Ci2: 0.000857035657656353, Avg lambda2: 0.19784128454940583 
Na - Avg Ci: 4.13e-03, Avg lambda: 1.67e-01, Avg Ci2: 0.003123801648293391, Avg lambda2: 0.12614638539614165 
P - Avg Ci: 5.56e-03, Avg lambda: 5.87e-01, Avg Ci2: 0.004201853738057465, Avg lambda2: 0.44382102081490715 
S - Avg Ci: 4.14e-03, Avg lambda: 6.69e-01, Avg Ci2: 0.0031275429185741842, Avg lambda2: 0.5059954507625878 
Zn - Avg Ci: 2.51e-04, Avg lambda: 9.92e-01, Avg Ci2: 0.00018999416874130012, Avg lambda2: 0.7498089178109969 
Ca - Avg Ci: 3.99e-04, Avg lambda: 8.92e-01, Avg Ci2: 0.00029411242127365134, Avg lambda2: 0.6573376539982713 
Cl - Avg Ci: 3.08e-03, Avg lambda: 7.10e-01, Avg Ci2: 0.00226655742969923, Avg lambda2: 0.5231231089332347 
Cr - Avg Ci: 1.35e-04, Avg lambda: 9.61e-01, Avg Ci2: 9.97285853957341e-05, Avg lambda2: 0.7079975796662763 
Cu - Avg Ci: 1.78e-04, Avg lambda: 9.87e-01, Avg Ci2: 0.00013111894973507598, Avg lambda2: 0.7273376036527692 
Fe - Avg Ci: 4.75e-04, Avg lambda: 9.75e-01, Avg Ci2: 0.000349909355956054, Avg lambda2: 0.7188474062008874 
K - Avg Ci: 4.66e-03, Avg lambda: 8.58e-01, Avg Ci2: 0.0034368626631028944, Avg lambda2: 0.632375328990963 
Mg - Avg Ci: 1.30e-03, Avg lambda: 2.08e-01, Avg Ci2: 0.00095878136292849, Avg lambda2: 0.15318830392693097 
Na - Avg Ci: 4.73e-03, Avg lambda: 1.31e-01, Avg Ci2: 0.0034880555889596487, Avg lambda2: 0.09623806998390363 
P - Avg Ci: 6.15e-03, Avg lambda: 5.16e-01, Avg Ci2: 0.004529918197595703, Avg lambda2: 0.3805937327560682 
S - Avg Ci: 4.49e-03, Avg lambda: 6.05e-01, Avg Ci2: 0.003309434883275291, Avg lambda2: 0.4460300748636259 
Zn - Avg Ci: 2.30e-04, Avg lambda: 9.89e-01, Avg Ci2: 0.00016976447275988477, Avg lambda2: 0.7290798807278179 
Ca - Avg Ci: 1.76e-03, Avg lambda: 7.87e-01, Avg Ci2: 5.9373562550837245e-06, Avg lambda2: 0.002658599515711901 
Cl - Avg Ci: 4.13e-03, Avg lambda: 5.23e-01, Avg Ci2: 1.3949601905923498e-05, Avg lambda2: 0.0017682984924261742 
Cr - Avg Ci: 1.76e-04, Avg lambda: 9.17e-01, Avg Ci2: 5.94389723650858e-07, Avg lambda2: 0.003098498360384069 
Cu - Avg Ci: 2.40e-04, Avg lambda: 9.72e-01, Avg Ci2: 8.116184286724191e-07, Avg lambda2: 0.0032840440080823714 
Fe - Avg Ci: 6.87e-04, Avg lambda: 9.47e-01, Avg Ci2: 2.3218503410708576e-06, Avg lambda2: 0.003201336360676581 
K - Avg Ci: 6.79e-03, Avg lambda: 7.29e-01, Avg Ci2: 2.2962500698333555e-05, Avg lambda2: 0.0024646696292468344 
Mg - Avg Ci: 2.11e-03, Avg lambda: 1.54e-01, Avg Ci2: 7.13328894113953e-06, Avg lambda2: 0.0005201888289005558 
Na - Avg Ci: 7.47e-03, Avg lambda: 1.09e-01, Avg Ci2: 2.5239560390740725e-05, Avg lambda2: 0.00036942965128567047 
P - Avg Ci: 9.49e-03, Avg lambda: 3.40e-01, Avg Ci2: 3.206409348705119e-05, Avg lambda2: 0.0011482792529205678 
S - Avg Ci: 6.96e-03, Avg lambda: 4.14e-01, Avg Ci2: 2.3536364372188058e-05, Avg lambda2: 0.0013999929046790273 
Zn - Avg Ci: 3.26e-04, Avg lambda: 9.77e-01, Avg Ci2: 1.1033634300859122e-06, Avg lambda2: 0.003301262882885177 
Ca - Avg Ci: 3.99e-04, Avg lambda: 8.92e-01, Avg Ci2: 0.00029411242127365134, Avg lambda2: 0.6573376539982713 
Cl - Avg Ci: 3.08e-03, Avg lambda: 7.10e-01, Avg Ci2: 0.00226655742969923, Avg lambda2: 0.5231231089332347 
Cr - Avg Ci: 1.35e-04, Avg lambda: 9.61e-01, Avg Ci2: 9.97285853957341e-05, Avg lambda2: 0.7079975796662763 
Cu - Avg Ci: 1.78e-04, Avg lambda: 9.87e-01, Avg Ci2: 0.00013111894973507598, Avg lambda2: 0.7273376036527692 
Fe - Avg Ci: 4.75e-04, Avg lambda: 9.75e-01, Avg Ci2: 0.000349909355956054, Avg lambda2: 0.7188474062008874 
K - Avg Ci: 4.66e-03, Avg lambda: 8.58e-01, Avg Ci2: 0.0034368626631028944, Avg lambda2: 0.632375328990963 
Mg - Avg Ci: 1.30e-03, Avg lambda: 2.08e-01, Avg Ci2: 0.00095878136292849, Avg lambda2: 0.15318830392693097 
Na - Avg Ci: 4.73e-03, Avg lambda: 1.31e-01, Avg Ci2: 0.0034880555889596487, Avg lambda2: 0.09623806998390363 
P - Avg Ci: 6.15e-03, Avg lambda: 5.16e-01, Avg Ci2: 0.004529918197595703, Avg lambda2: 0.3805937327560682 
